"annotation_id","annotator","created_at","id","image","label","lead_time","updated_at"
1,"1","2025-10-26T05:36:23.247900Z",1,"/data/upload/1/eb99568a-IMG_0026.JPG","[{""x"":1.5692987694950287,""y"":37.41097679431179,""width"":53.49882168732997,""height"":21.185533388182662,""rotation"":0,""rectanglelabels"":[""maggi""],""original_width"":3213,""original_height"":5712},{""x"":58.92003561831275,""y"":37.08998386418782,""width"":35.95120817388565,""height"":21.105285155651657,""rotation"":0,""rectanglelabels"":[""Jim_jam""],""original_width"":3213,""original_height"":5712},{""x"":16.26364179294833,""y"":21.361330288112796,""width"":46.365645462352624,""height"":12.037234879649224,""rotation"":0,""rectanglelabels"":[""dairy_milk""],""original_width"":3213,""original_height"":5712},{""x"":17.975604086942887,""y"":61.966935948796234,""width"":37.09251636988205,""height"":16.29039120379178,""rotation"":0,""rectanglelabels"":[""pears_soap""],""original_width"":3213,""original_height"":5712}]",642.489,"2025-11-02T09:11:06.909921Z"
2,"1","2025-10-26T05:38:59.897703Z",2,"/data/upload/1/c6f3c004-IMG_0027.JPG","[{""x"":49.265954109325385,""y"":41.438781182232894,""width"":48.166267633670905,""height"":20.351072840082672,""rotation"":0,""rectanglelabels"":[""maggi""],""original_width"":3213,""original_height"":5712},{""x"":1.2096551232200432,""y"":41.13514722995431,""width"":36.94946558199404,""height"":21.526362760938483,""rotation"":0,""rectanglelabels"":[""Jim_jam""],""original_width"":3213,""original_height"":5712},{""x"":19.354481971520674,""y"":63.403798361959616,""width"":44.31736496887975,""height"":12.062186029836198,""rotation"":0,""rectanglelabels"":[""dairy_milk""],""original_width"":3213,""original_height"":5712},{""x"":26.502444063275487,""y"":24.681088337972582,""width"":35.07999857338127,""height"":15.588055792403729,""rotation"":0,""rectanglelabels"":[""pears_soap""],""original_width"":3213,""original_height"":5712}]",267.399,"2025-11-02T09:15:20.403755Z"
3,"1","2025-10-26T05:40:39.186631Z",3,"/data/upload/1/b85fe7eb-IMG_0028.JPG","[{""x"":49.93478702239362,""y"":39.79178340846991,""width"":46.335883453211636,""height"":19.16837897101144,""rotation"":0,""rectanglelabels"":[""maggi""],""original_width"":3213,""original_height"":5712},{""x"":1.2371231019061484,""y"":39.98156933887579,""width"":36.213967164888935,""height"":20.11730862304195,""rotation"":0,""rectanglelabels"":[""Jim_jam""],""original_width"":3213,""original_height"":5712},{""x"":21.480955678552206,""y"":60.984545637146034,""width"":42.39958267441951,""height"":11.197369893957296,""rotation"":0,""rectanglelabels"":[""dairy_milk""],""original_width"":3213,""original_height"":5712},{""x"":27.891502661156796,""y"":23.217145486340954,""width"":34.18958390722446,""height"":15.309398386088588,""rotation"":0,""rectanglelabels"":[""pears_soap""],""original_width"":3213,""original_height"":5712}]",199.339,"2025-11-02T09:14:57.242875Z"
4,"1","2025-10-26T05:41:54.136123Z",4,"/data/upload/1/55d5daec-IMG_0029.JPG","[{""x"":49.56181696661437,""y"":42.52865447024337,""width"":46.37491521044625,""height"":19.22443537826407,""rotation"":0,""rectanglelabels"":[""maggi""],""original_width"":3213,""original_height"":5712},{""x"":0.4395726560231997,""y"":43.82676747006183,""width"":36.59442361393034,""height"":20.151658949562993,""rotation"":0,""rectanglelabels"":[""Jim_jam""],""original_width"":3213,""original_height"":5712},{""x"":21.099487489112907,""y"":63.79298170536504,""width"":43.18801345427801,""height"":12.05390642688555,""rotation"":0,""rectanglelabels"":[""dairy_milk""],""original_width"":3213,""original_height"":5712},{""x"":23.077564441217323,""y"":25.405925853590144,""width"":35.60538513787772,""height"":15.144651664548592,""rotation"":0,""rectanglelabels"":[""pears_soap""],""original_width"":3213,""original_height"":5712}]",180.72,"2025-11-02T09:17:20.289438Z"
5,"1","2025-10-26T05:43:25.959604Z",5,"/data/upload/1/abc7f47d-IMG_0030.jpg","[{""x"":47.29275829638586,""y"":42.6844014510278,""width"":46.00295579739352,""height"":19.830713422007257,""rotation"":0,""rectanglelabels"":[""maggi""],""original_width"":3213,""original_height"":5712},{""x"":0.7747527777947905,""y"":44.29135144368172,""width"":37.3430838897089,""height"":20.831165312957424,""rotation"":0,""rectanglelabels"":[""Jim_jam""],""original_width"":3213,""original_height"":5712},{""x"":20.763374444900386,""y"":65.81979425665446,""width"":44.7807105565389,""height"":11.417919062750713,""rotation"":0,""rectanglelabels"":[""dairy_milk""],""original_width"":3213,""original_height"":5712},{""x"":24.017336111638503,""y"":25.90065738077788,""width"":36.258430000796174,""height"":15.252945312834937,""rotation"":0,""rectanglelabels"":[""pears_soap""],""original_width"":3213,""original_height"":5712}]",138.017,"2025-11-02T09:18:35.296371Z"
6,"1","2025-10-26T05:48:42.080704Z",6,"/data/upload/1/2fa07715-IMG_0031.jpg","[{""x"":52.992452550799605,""y"":39.30556962986761,""width"":45.35805454789734,""height"":21.447595297731453,""rotation"":0,""rectanglelabels"":[""maggi""],""original_width"":3213,""original_height"":5712},{""x"":0.12931756309627168,""y"":38.715315961865045,""width"":43.19206607414976,""height"":24.804725071400675,""rotation"":0,""rectanglelabels"":[""Jim_jam""],""original_width"":3213,""original_height"":5712},{""x"":34.01051909431555,""y"":54.71836439502671,""width"":33.493248841930736,""height"":22.6224911941514,""rotation"":0,""rectanglelabels"":[""dairy_milk""],""original_width"":3213,""original_height"":5712},{""x"":25.346242366866406,""y"":22.186044418701627,""width"":38.92458649197287,""height"":20.803962963110052,""rotation"":0,""rectanglelabels"":[""pears_soap""],""original_width"":3213,""original_height"":5712}]",413.51599999999996,"2025-11-02T09:20:33.778723Z"
7,"1","2025-10-26T06:28:17.376482Z",7,"/data/upload/1/874039bc-IMG_0032.jpg","[{""x"":12.898024989923416,""y"":57.194679564691654,""width"":67.06972994760176,""height"":18.13784764207979,""rotation"":0,""rectanglelabels"":[""dairy_milk""],""original_width"":3213,""original_height"":5712},{""x"":17.842267902727393,""y"":25.997581620314385,""width"":56.321375789332265,""height"":22.853688029020542,""rotation"":0,""rectanglelabels"":[""pears_soap""],""original_width"":3213,""original_height"":5712}]",108.577,"2025-11-02T09:21:27.789752Z"
8,"1","2025-10-26T06:29:09.217158Z",8,"/data/upload/1/6784f7de-IMG_0033.jpg","[{""x"":9.243584576111783,""y"":27.569528415961305,""width"":70.72417036141343,""height"":17.6541717049577,""rotation"":0,""rectanglelabels"":[""dairy_milk""],""original_width"":3213,""original_height"":5712},{""x"":18.91710331855434,""y"":53.44619105199515,""width"":57.611178288324595,""height"":24.546553808948012,""rotation"":0,""rectanglelabels"":[""pears_soap""],""original_width"":3213,""original_height"":5712}]",81.348,"2025-11-02T09:22:03.828467Z"
9,"1","2025-10-26T06:29:28.062120Z",9,"/data/upload/1/dfe74d0b-IMG_0034.jpg","[{""x"":4.9442429128039755,""y"":26.723095525997575,""width"":74.59357785839043,""height"":18.25876662636033,""rotation"":0,""rectanglelabels"":[""dairy_milk""],""original_width"":3213,""original_height"":5712},{""x"":17.842267902727375,""y"":57.194679564691654,""width"":57.39621120515922,""height"":25.151148730350652,""rotation"":0,""rectanglelabels"":[""pears_soap""],""original_width"":3213,""original_height"":5712}]",51.545,"2025-11-02T09:22:41.521629Z"
10,"1","2025-10-26T06:30:07.905466Z",10,"/data/upload/1/7f6d0fe1-IMG_0035.jpg","[{""x"":2.579604997984683,""y"":44.014510278113654,""width"":53.0968695418514,""height"":14.268440145102693,""rotation"":0,""rectanglelabels"":[""dairy_milk""],""original_width"":3213,""original_height"":5712},{""x"":58.47104662098616,""y"":38.69407496977025,""width"":33.31989789063549,""height"":23.821039903264822,""rotation"":0,""rectanglelabels"":[""pears_soap""],""original_width"":3213,""original_height"":5712}]",69.511,"2025-11-02T09:23:18.427645Z"
11,"1","2025-10-26T06:31:59.956686Z",11,"/data/upload/1/01f4a81f-IMG_0036.jpg","[{""x"":9.214459774038792,""y"":64.34361524938221,""width"":56.875458605273934,""height"":24.217745031121336,""rotation"":0,""rectanglelabels"":[""maggi""],""original_width"":3213,""original_height"":5712},{""x"":16.84021958703642,""y"":12.33228344758208,""width"":40.8295889987581,""height"":24.843295640781296,""rotation"":0,""rectanglelabels"":[""Jim_jam""],""original_width"":3213,""original_height"":5712},{""x"":2.7007899337699905,""y"":44.2353645402401,""width"":51.31500874162979,""height"":12.779105311624939,""rotation"":0,""rectanglelabels"":[""dairy_milk""],""original_width"":3213,""original_height"":5712},{""x"":56.39884861696144,""y"":37.890494070831934,""width"":32.56834920134408,""height"":23.234736930226973,""rotation"":0,""rectanglelabels"":[""pears_soap""],""original_width"":3213,""original_height"":5712}]",175.054,"2025-11-02T09:24:43.131195Z"
12,"1","2025-10-26T06:32:51.228995Z",12,"/data/upload/1/c931eec7-IMG_0037.jpg","[{""x"":8.398961316438484,""y"":65.22204260544785,""width"":57.2173891252792,""height"":22.95926435239236,""rotation"":0,""rectanglelabels"":[""maggi""],""original_width"":3213,""original_height"":5712},{""x"":14.656351029041554,""y"":11.29247214264914,""width"":42.491101722851575,""height"":24.386197510506115,""rotation"":0,""rectanglelabels"":[""Jim_jam""],""original_width"":3213,""original_height"":5712},{""x"":5.295992388645267,""y"":43.43791431558902,""width"":51.235647294800735,""height"":12.678051546655169,""rotation"":0,""rectanglelabels"":[""dairy_milk""],""original_width"":3213,""original_height"":5712},{""x"":60.71916854888616,""y"":38.0341546399655,""width"":32.514930014008065,""height"":22.931339136299638,""rotation"":0,""rectanglelabels"":[""pears_soap""],""original_width"":3213,""original_height"":5712}]",114.494,"2025-11-02T09:25:59.007111Z"
